Company/Brand,Sector,Stage,Amount($),HeadQuarter,What_it_does
MobiKwik,"Consumer Lending, Financial Services, FinTech, Insurance, Lending, Mobile Payments, Payments, Wealth Management",Series E,35040000,Gurgaon,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India
Stones2Milestones,"E-Learning, Education, Higher Education",Seed,3515000,Gurgaon,Stones2milestones is a Gurgaon Based Learning Company.
Generico,"Health Care, Medical, Pharmaceutical",Series A,3515000,Mumbai,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.
Adiuvo Diagnostics,Health Diagnostics,Seed,3515000,Chennai,Adiuvo Diagnostics is a medical diagnostic device company based in India.
DataTrained,"EdTech, Education",Seed,17520000,Bangalore,"DataTrained is a educational platform, which operates an ed-tech startup on data science"
OneAssist,"Financial Services, SaaS, Security",Debt Financing,2400000,Mumbai,OneAssist is a protection & assistance services platform.
Satin Creditcare Network Limited (SCNL),"Banking, Finance, Financial Services, Non Profit",Post-IPO Debt,30000000,New Delhi,Satin is a non-banking finance company providing individual loans to urban shopkeepers.
APAC Financial Services,"Finance, Financial Services",Private Equity,365000000,Mumbai,APAC Financial Services is a financial services platform.
Moglix,"B2B, E-Commerce, Mobile",Series C,23000000,Noida,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment."
SEDEMAC Mechatronics,"Automotive, Electric Vehicle, Renewable Energy",Venture - Series Unknown,3515000,Mumbai,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.
MadGuy Labs,E-Learning,Venture - Series Unknown,150000,Hyderabad,MadGuy Labs is a Online Test-prep Platform.
Dee Dee Labs,"Embedded Systems, Health Care, Medical, Product Research",Seed,3515000,Pune,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.
FLEECA,,Seed,3515000,Jaipur,FLEECA is a Tyre Care Provider company.
Shop101,"Apps, E-Commerce, Internet",Series B,11000000,Mumbai,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.
FeedMyPockets,"Advertising, Human Resources, Marketing",Seed,6424000,Bangalore City,On Demand Staffing Platform
Housejoy,"Beauty, Fitness, Home Services, Internet",Series B,3240000,Bengaluru,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.
Ambee,"Health Care, Medical Device, Public Safety",Angel,3515000,Bangalore,Ambee is an Environment analytics startup.
FoodBuddy,"Food Delivery, Online Portals, Restaurants",Seed,8760000,Belgaum,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery."
Ninjacart,"AgTech, B2B, Supply Chain Management",Series B,365000000,Bengaluru,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.
Olly Smart Credit Card,"Credit Cards, Finance, Mobile Apps, Mobile Payments, Payments",Seed,3515000,New Delhi,Olly is a digital credit card for India's working masses and young people.
Zestl,Software,Seed,3515000,Pune,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in."
BYJU’S,"EdTech, Education, Higher Education, Secondary Education",Private Equity,540000000,Bangalore,BYJU’s is an edtech company that is reinventing how students learn through its learning app.
Wakefit,"Manufacturing, Retail",Venture - Series Unknown,94900000,Bangalore,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.
Hero Electric,Manufacturing,Venture - Series Unknown,233600000,New Delhi,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry."
Pentation Analytics,"Information Services, Information Technology, InsurTech",Seed,3515000,Mumbai,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite
PerkFinance,"Consumer Lending, FinTech",Seed,900000,Bangalore,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company
Roposo,"Internet, Social Network, TV",Series C,10000000,Gurgaon,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.
Plum Goodness,"Beauty, Health Care",Series A,3515000,Thane,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair
Drstore,Hospital,Seed,3515000,Mumbai,Drstore is a exclusive e- commerce platform.
Wow Venue,Events,Venture - Series Unknown,1500000,Mumbai,Wow Venue is an online platform.
Chizel,"3D Printing, Manufacturing, Product Design",Seed,3515000,Pune,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining
OTO Capital,Automotive,Seed,7300000,Mumbai,OTO Capital is a platform that allows you to own a car faster than ever.
Boodmo,"Automotive, Retail",Seed,10220000,Gurgaon,boodmo.com - large online marketplace for auto parts in India.
Khabri,"Apps, Audio",Seed,3515000,Haryana,Khabri is a digital audio platform for content in vernacular.
MyNewCar.in,"Automotive, E-Commerce",Venture - Series Unknown,1000000,Gurgaon,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive
HalaPlay Technologies,"Digital Entertainment, Fantasy Sports, Sports",Series A,5000000,Bangalore,A daily fantasy sports platform.
PlanetSpark,"E-Learning, EdTech, Education",Seed,2336000,Gurgaon,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.
WheelsEMI,,Series B,14000000,Pune,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd."
Forum for Innovation Incubation Research and Entrepreneurship,"Funding Platform, Incubators, Non Profit",Grant,14965000,Margão,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab."
OYO,"Hospitality, Hotel, Leisure, Travel",Series E,100000000,Gurgaon,OYO is an Indian hospitality startup that operates a network of budget hotels.
Quikr,"Classifieds, Internet, Marketplace, Rental Property",Debt Financing,80300000,Bangalore,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India."
Tabono,Sports,Seed,3515000,Gurgaon,Tabono is a one stop environment for all your fitness solution.
LearnApp,"Banking, E-Learning, Trading Platform",Seed,2920000,Noida,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance."
Shopkirana,"E-Commerce, Mobile, Retail",Venture - Series Unknown,2000000,Indore,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.
Fric Bergen,,Venture - Series Unknown,3515000,Alwar,Fric Bergen is a leader in the specialty food industry.
Articbot,"Artificial Intelligence, Information Technology",Grant,175200,Kannur,Articbot is a conversational AI platform for automated customer support and lead generation
BuildSupply,"Enterprise Resource Planning (ERP), Information Services, Information Technology, Real Estate",Series A,36500000,Gurgaon,India’s most advanced ERP system for the real estate
Fusion Microfinance,"Banking, Finance, Financial Services",Series E,759200000,New Delhi,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI
Any time Doctor,Software,Angel,3515000,Chennai,Anytime Doctor is a Software company.
Go Payments,"Information Services, Information Technology",Corporate Round,3515000,Mumbai,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.
Guiddoo World,"Audio, Mobile, Tourism, Travel",Seed,800000,Mumbai,We build In-Destination Experiences!
ION Energy,"Energy, Energy Storage, Infrastructure",Venture - Series Unknown,1041000,Mumbai,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.
UnoTag,Artificial Intelligence,Pre-Seed,100000,Bangalore,SaaS to verify counterfeit
CivilCops,"Government, Information Technology, Software",Pre-Seed,100000,Gurgaon,Gov-Tech
Rockmetric,Information Technology,Grant,3515000,Mumbai,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement."
Classworks India,"Education, Information Technology, Internet, Mobile, Software",Undisclosed,14600,Chennai,"Saas, Web App, Mobile App, School Education"
Snapmint,"Consumer Lending, Financial Services, Lending, Personal Finance",Seed,3515000,Mumbai,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card."
artbandhu,"Digital Media, Internet, Media and Entertainment, Online Portals, Social Media",Pre-Seed,15000,Bangalore,Ai platform for Art and Creative Community
Survaider,"Business Intelligence, Customer Service, Market Research, SaaS",Seed,500000,Bengaluru,Stethoscope for customer feedback !
Credy,"Credit, Financial Services, FinTech, Lending",Seed,1400000,Bengaluru,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.
iChamp,E-Learning,Seed,5000000,Gurgaon,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.
